experiment_id,parameter_id,metric,samples,median,min,max
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.7-tally-vote-weight-product:wall_ms,3,36174.186,35951.752,36236.886
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:5-threshold-decrypt-verify:cpu_ms,3,61.909,51.884,64.597
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:5-threshold-decrypt-verify:multiparty_cpu_ms,3,51.083,40.216,52.997
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:5-threshold-decrypt-verify:multiparty_wall_ms,3,33.127,26.477,34.387
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:5-threshold-decrypt-verify:wall_ms,3,40.397,34.144,42.116
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,process_peak_rss_mib,3,15575.48828125,15574.17578125,15580.20703125
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,server_observed_wall_ms:one_input_period,3,1063982.29,1060288.074,1065691.6439999999
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,server_projected_wall_ms:five_input_periods,3,3490123.7530000005,3469830.2410000004,3514021.679
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,tally_observed_wall_ms:one_input_period,3,1063982.29,1060288.074,1065691.6439999999
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,tally_projected_wall_ms:five_input_periods,3,3490123.7530000005,3469830.2410000004,3514021.679
n500000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,tally_refresh_wall_ms,3,0.0,0.0,0.0
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-aggregate-initialization:cpu_ms,3,37824.976,37438.628,37878.924
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-aggregate-initialization:wall_ms,3,36627.45,36197.06,36674.082
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-estimated-full-server-aggregation:cpu_ms,3,3077368.135,3059518.355,3112836.195
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-estimated-full-server-aggregation:wall_ms,3,3039995.489,3018985.932,3073329.737
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-server-aggregation:cpu_ms,3,615473.627,611903.671,622567.239
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-server-aggregation:wall_ms,3,607999.097,603797.186,614665.947
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-simulated-client-input-preparation:cpu_ms,3,0.0,0.0,0.0
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:4.1-simulated-client-input-preparation:wall_ms,3,0.0,0.0,0.0
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:multiparty:galois-key-generation:cpu_ms,3,15198.311,15177.983,15297.415
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:multiparty:galois-key-generation:wall_ms,3,14633.3,14630.825,14752.987
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:multiparty:public-key-generation:cpu_ms,3,69.701,63.407,71.78
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:multiparty:public-key-generation:wall_ms,3,43.348,43.113,45.051
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:multiparty:relinearization-key-generation:cpu_ms,3,846.616,813.57,847.975
n500000-b5-k5-tree-none,0233dda46fdb69b1070f3ef6b7c87c2caacd964311fdf302a0e4d7f6c140eef2,component:multiparty:relinearization-key-generation:wall_ms,3,798.449,768.607,800.447
