experiment_id,parameter_file,family,n,b,k,T,candidate_logN,voters_per_ciphertext,ciphertext_blocks,max_submissions_per_block_per_period,fresh_input_additions_all_periods,benchmark_input_additions,period_accumulator_encryptions,echo_ct_multiplications,echo_ct_additions,echo_multiplication_depth,majority_polynomial_evaluations,downstream_ct_multiplications_excluding_polynomial,downstream_multiplication_depth,uninterrupted_depth,final_refresh_ciphertexts,intermediate_refresh_ciphertexts,cli_refresh_mode,cli_refresh_interval,minimum_Q_prime_count_in_current_loader,Q_selection_status
n5k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,sequential-final-refresh,5000,3,100,5,14,162,31,162,75000,15000,465,558,496,5,62,93,5,5,62,0,collective,5,4,see-B3_PARAMETER_VALIDATION.md
n10k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,tree-none,10000,3,100,5,15,326,31,326,150000,30000,465,1302,992,4,62,93,5,9,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n10k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,tree-final-refresh,10000,3,100,5,14,162,62,162,150000,30000,930,2604,1984,4,124,186,5,5,124,0,collective,0,4,see-B3_PARAMETER_VALIDATION.md
n10k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,sequential-none,10000,3,100,5,15,326,31,326,150000,30000,465,558,496,5,62,93,5,10,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n10k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,sequential-final-refresh,10000,3,100,5,14,162,62,162,150000,30000,930,1116,992,5,124,186,5,5,124,0,collective,5,4,see-B3_PARAMETER_VALIDATION.md
n25k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,tree-none,25000,3,100,5,15,326,77,326,375000,75000,1155,3234,2464,4,154,231,5,9,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n25k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,tree-final-refresh,25000,3,100,5,14,162,155,162,375000,75000,2325,6510,4960,4,310,465,5,5,310,0,collective,0,4,see-B3_PARAMETER_VALIDATION.md
n25k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,sequential-none,25000,3,100,5,15,326,77,326,375000,75000,1155,1386,1232,5,154,231,5,10,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n25k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,sequential-final-refresh,25000,3,100,5,14,162,155,162,375000,75000,2325,2790,2480,5,310,465,5,5,310,0,collective,5,4,see-B3_PARAMETER_VALIDATION.md
n50k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,tree-none,50000,3,100,5,15,326,154,326,750000,150000,2310,6468,4928,4,308,462,5,9,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n50k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,tree-final-refresh,50000,3,100,5,14,162,309,162,750000,150000,4635,12978,9888,4,618,927,5,5,618,0,collective,0,4,see-B3_PARAMETER_VALIDATION.md
n50k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,sequential-none,50000,3,100,5,15,326,154,326,750000,150000,2310,2772,2464,5,308,462,5,10,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n50k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,sequential-final-refresh,50000,3,100,5,14,162,309,162,750000,150000,4635,5562,4944,5,618,927,5,5,618,0,collective,5,4,see-B3_PARAMETER_VALIDATION.md
n100k-b3-k100-tree-none,parameters/b3-k100/tree-none-100k.json,tree-none,100000,3,100,5,15,326,307,326,1500000,300000,4605,12894,9824,4,614,921,5,9,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n100k-b3-k100-tree-final,parameters/b3-k100/tree-final-100k.json,tree-final-refresh,100000,3,100,5,15,326,307,326,1500000,300000,4605,12894,9824,4,614,921,5,5,614,0,collective,0,4,see-B3_PARAMETER_VALIDATION.md
n100k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-100k.json,sequential-none,100000,3,100,5,15,326,307,326,1500000,300000,4605,5526,4912,5,614,921,5,10,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n100k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-100k.json,sequential-final-refresh,100000,3,100,5,15,326,307,326,1500000,300000,4605,5526,4912,5,614,921,5,5,614,0,collective,5,4,see-B3_PARAMETER_VALIDATION.md
