family,repetition,workload,probe_n,target_n,status,exit_code,min_margin_bits,elapsed_seconds,run_directory,log,tally_flow,parameter_file
tree-none-t65537-b5-k5-tree-none,0,concentrated,6,200,passed,0,41.12675,15.84035595900059,experiments/validation/final-refresh-20260908/raw/20260908_182936_n6_b5_k5_T5_2354273478,experiments/validation/final-refresh-20260908/tree-none-n200-q384-concentrated-0.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,10,random,6,200,passed,0,42.069485,16.08397462499852,experiments/validation/final-refresh-20260908/raw/20260908_183625_n6_b5_k5_T5_2230393177,experiments/validation/final-refresh-20260908/tree-none-n200-q384-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,10,random,6,25000,passed,0,30.138335,16.62135195799783,experiments/validation/final-refresh-20260908/raw/20260908_183938_n6_b5_k5_T5_561404113,experiments/validation/final-refresh-20260908/tree-none-n25000-q384-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,10,random,6,500,passed,0,38.602612,15.76906237500225,experiments/validation/final-refresh-20260908/raw/20260908_183703_n6_b5_k5_T5_1989510191,experiments/validation/final-refresh-20260908/tree-none-n500-q384-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,10,random,6,5000,passed,0,36.143114,15.471791333999136,experiments/validation/final-refresh-20260908/raw/20260908_183822_n6_b5_k5_T5_3475284478,experiments/validation/final-refresh-20260908/tree-none-n5000-q384-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,20,balanced,6,50000,passed,0,32.010106,16.082219541996892,experiments/validation/final-refresh-20260908/raw/20260908_184437_n6_b5_k5_T5_1306148848,experiments/validation/final-refresh-20260908/tree-none-n50000-q384-balanced-20.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,1,carry,6,50000,passed,0,29.169377,15.861347416997887,experiments/validation/final-refresh-20260908/raw/20260908_183122_n6_b5_k5_T5_760184806,experiments/validation/final-refresh-20260908/tree-none-n50000-q384-carry-1.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,21,carry,6,50000,passed,0,28.125812,17.975170625002647,experiments/validation/final-refresh-20260908/raw/20260908_184453_n6_b5_k5_T5_3582384583,experiments/validation/final-refresh-20260908/tree-none-n50000-q384-carry-21.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,10,random,6,50000,passed,0,32.322786,16.003495666998788,experiments/validation/final-refresh-20260908/raw/20260908_184018_n6_b5_k5_T5_2769699490,experiments/validation/final-refresh-20260908/tree-none-n50000-q384-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t786433-b5-k5-tree-none,20,balanced,6,500000,passed,0,37.663543,15.649757874998613,experiments/validation/final-refresh-20260908/raw/20260908_184601_n6_b5_k5_T5_1851457814,experiments/validation/final-refresh-20260908/tree-none-n500000-q440-balanced-20.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t786433.json
tree-none-t786433-b5-k5-tree-none,1,carry,6,500000,passed,0,38.199796,15.75040433400136,experiments/validation/final-refresh-20260908/raw/20260908_183204_n6_b5_k5_T5_2743845083,experiments/validation/final-refresh-20260908/tree-none-n500000-q440-carry-1.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t786433.json
tree-none-t786433-b5-k5-tree-none,21,carry,6,500000,passed,0,40.609086,15.793168458003493,experiments/validation/final-refresh-20260908/raw/20260908_184616_n6_b5_k5_T5_2454257870,experiments/validation/final-refresh-20260908/tree-none-n500000-q440-carry-21.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t786433.json
tree-none-t786433-b5-k5-tree-none,0,concentrated,6,500000,passed,0,38.743051,16.176313833006134,experiments/validation/final-refresh-20260908/raw/20260908_182815_n6_b5_k5_T5_467013684,experiments/validation/final-refresh-20260908/tree-none-n500000-q440-concentrated-0.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t786433.json
tree-none-t786433-b5-k5-tree-none,10,random,6,500000,passed,0,37.595551,15.671673333003127,experiments/validation/final-refresh-20260908/raw/20260908_184140_n6_b5_k5_T5_4261569596,experiments/validation/final-refresh-20260908/tree-none-n500000-q440-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t786433.json
